Rank,Song ID,Title,Artist,Num Votes
1,211,Believe,DMA'S,160
2,202,Bulls On Parade,Denzel Curry,140
3,267,Blood,Gang of Youths,109
4,439,I Touch Myself,Lime Cordiale,79
5,15,Welcome to the Black Parade,Alex Lahey,75
6,7,Dumb Things [Ft. Paul Kelly/Dan Sultan],A.B. Original,71
7,343,Ausmusic Month Medley,Illy,70
8,412,Yellow,King Stingray,61
9,766,Brother,Thundamentals,60
10,528,Baby Come Back,Ocean Alley,59
11,697,I Was Only 19,The Herd,59
12,551,Edge Of Town,Paul Dempsey,52
13,78,Better in Blak,Beddy Rays,50
14,525,What Can I Do If The Fire Goes Out?,Nothing But Thieves,49
15,756,Elephant,The Wiggles,47
16,217,Am I Ever Gonna See Your Face Again,Dune Rats & Friends,46
17,151,Do I Wanna Know?,CHVRCHES,43
18,198,The Special Two,Dear Seattle,41
19,258,Shooting Stars [Ft. Toro y Moi],Flume,40
20,127,Charlie,Bugs,38
21,837,I Will Follow You into the Dark,"YUNGBLUD, Halsey",38
22,143,(Lover) You Don't Treat Me No Good,Chet Faker,37
23,546,Keeping Score [Ft. Guy Sebastian],Paces,37
24,459,How To Make Gravy,Luca Brasi,36
25,604,Get Lucky,San Cisco,35
26,146,So Into You,Childish Gambino,35
27,389,Someday,Julia Jacklin,35
28,45,Feels Like We Only Go Backwards,Arctic Monkeys,34
29,785,Time After Time,Triple One,31
30,269,All My Friends,Gang of Youths,30
31,653,Delete,Sticky Fingers,29
32,569,"Black Fingernails, Red Wine",Polaris,28
33,70,Paranoid Android,Ball Park Music,28
34,138,Read My Mind,Catfish and the Bottlemen,28
35,633,Sweet Nothing,Something For Kate,28
36,500,Hearts A Mess,Missy Higgins,27
37,71,My Happiness,Ball Park Music,27
38,752,"Hey, Ma",The Vanns,26
39,608,Life On Mars?,Sarah Blasko,26
40,473,Lonely Boy,Matt Corby,25
41,649,Righteous,Stand Atlantic,25
42,81,Such Great Heights,Ben Folds,25
43,308,That Don't Impress Me Much,HAIM,25
44,174,when the party's over,Cub Sport,25
45,632,Cardigan,Something For Kate,24
46,664,A Girl Like You,Tame Impala,23
47,621,Here Comes Your Man,Skegss,22
48,34,"Knowing Me, Knowing You",Angie McMahon,22
49,134,Seventeen Going Under,Camp Cope,22
50,584,Real Love,Regina Spektor,21
51,571,Say So,Polish Club,21
52,105,End Of The Road,Bluejuice,20
53,789,Big Jet Plane,Tuka,19
54,50,Enter Sandman,Art vs Science,19
55,152,LOVE.,CHVRCHES,19
56,806,Lazy Eye,Violent Soho,19
57,531,Magnolia,Odette,19
58,665,Electric Feel,Tash Sultana,18
59,651,Love Is In The Air,Stella Donnelly,18
60,595,The Unguarded Moment,Ruby Fields,18
61,314,Chemtrails Over The Country Club,Hayley Mary,17
62,383,Endless Summer [Ft. Elana Stone],Josh Pyke,17
63,397,Hey Now,Karnivool,17
64,25,Big Yellow Taxi [Ft. The Veronicas],Allday,16
65,233,Crave You/The Less I Know The Better [Ft. Lisa Mitchell],Elk Road,16
66,317,Heart-Shaped Box [Ft. Jaguar Jonze],Hermitude,16
67,265,Lady Marmalade,G Flip,16
68,759,Running Up That Hill (A Deal With God),The Wombats,16
69,59,Teardrop,AURORA,16
70,628,The Scientist,Sly Withers,16
71,268,Why Does It Always Rain On Me?,Gang of Youths,16
72,64,Blackfella/Whitefella [Ft. Peter Garrett/Mambali/Emily Wurramara],Bad//Dreems,15
73,822,Boys (Don't Cry),Wolf Alice,15
74,639,Here Comes The Sun,Spacey Jane,15
75,325,I Try [Ft. Hatchie],Hockey Dad,15
76,286,In the End,Gordi,15
77,476,Let It Happen,Meg Mac,15
78,259,My Boo [Ft. Kučka/Ngaiire/Vera Blue/Vince Staples],Flume,15
79,735,Power And The Passion,The Presets,15
80,3,Two Weeks [Ft. Tom Snowdon],#1 Dads,15
81,530,UFO,Ocean Grove,15
82,477,Bridges,Meg Mac,14
83,474,Chains,Matt Corby,14
84,133,Maps,Camp Cope,14
85,791,Naive,Tyne-James Organ,14
86,765,Supermassive Black Hole,Thornhill,14
87,529,Breathe (In the Air)/Comfortably Numb/Money,Ocean Alley,13
88,373,Changes [Ft. Bronte Eve],JK-47,13
89,331,Green Light,Holy Holy,13
90,168,Heaven,Confidence Man,13
91,330,Hold Up,Holy Holy,13
92,659,Jesus Walks [Ft. A.GIRL/Emalia/Gia Vorne],Taka Perry,13
93,714,Kids,The Kooks,13
94,35,Passionfruit,Angus & Julia Stone,13
95,67,Song 2,Baker Boy,13
96,139,A Thousand Miles,Ceres,12
97,749,Catch My Disease,The Terrys,12
98,782,Dancing On My Own,Tove Lo,12
99,117,Don't You (Forget About Me) [Ft. Annie Hamilton],Boy & Bear,12
100,675,Praise You,The Belligerents,12
